seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,transaction_cost_total,transaction_cost_mean,rollover_count,fail_count,settlement_event_count,dead
40,baseline_world,myopic,-0.01397178750508563,6,0.0,0.01,2.5e-05,6,0,6,True
41,baseline_world,myopic,-0.01525364072356315,9,0.1,0.045,0.0001125,9,1,10,True
42,baseline_world,myopic,-0.006617542669674747,12,0.0,0.04,0.0001,12,0,12,True
43,baseline_world,myopic,-0.00468035725297454,4,0.0,0.0,0.0,4,0,4,True
44,baseline_world,myopic,-0.03051209748751678,18,0.0,0.0,0.0,18,0,18,True
45,baseline_world,myopic,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
46,baseline_world,myopic,-0.01859409602313849,9,0.1,0.045,0.0001125,9,1,10,True
47,baseline_world,myopic,-0.007102843511134816,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
48,baseline_world,myopic,-0.02,14,0.06666666666666667,0.02,5e-05,14,1,15,True
49,baseline_world,myopic,-0.005,10,0.09090909090909091,0.05499999999999999,0.00013749999999999998,10,1,11,True
50,baseline_world,myopic,-0.02991853266604421,3,0.25,0.015,3.75e-05,3,1,4,True
51,baseline_world,myopic,-0.025,2,0.3333333333333333,0.030000000000000002,7.500000000000001e-05,2,1,3,True
52,baseline_world,myopic,-0.025,13,0.07142857142857142,0.035,8.750000000000001e-05,13,1,14,True
53,baseline_world,myopic,-0.001298467168326017,3,0.0,0.0,0.0,3,0,3,True
54,baseline_world,myopic,-0.009200220824864143,6,0.0,0.0,0.0,6,0,6,True
55,baseline_world,myopic,-0.005,9,0.1,0.045,0.0001125,9,1,10,True
56,baseline_world,myopic,-0.024998355410927396,3,0.0,0.0,0.0,3,0,3,True
57,baseline_world,myopic,-0.023748199602000614,4,0.2,0.02,5e-05,4,1,5,True
58,baseline_world,myopic,-0.0006788810212623956,2,0.0,0.0,0.0,2,0,2,True
59,baseline_world,myopic,-0.00671589165817921,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
60,baseline_world,myopic,-0.0055371282376142856,4,0.2,0.02,5e-05,4,1,5,True
61,baseline_world,myopic,-0.006769885925844148,5,0.16666666666666666,0.01,2.5e-05,5,1,6,True
62,baseline_world,myopic,-0.04374195731544906,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
63,baseline_world,myopic,-0.030275687413133388,14,0.06666666666666667,0.06,0.00015,14,1,15,True
64,baseline_world,myopic,-0.011656782435802572,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
65,baseline_world,myopic,-0.005,3,0.25,0.01,2.5e-05,3,1,4,True
66,baseline_world,myopic,-0.012597430110570872,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
67,baseline_world,myopic,-0.005958934761164129,6,0.0,0.0,0.0,6,0,6,True
68,baseline_world,myopic,-0.017512981654954837,5,0.0,0.0,0.0,5,0,5,True
